   10000      1    6.1390e+02     1
   1:   1.0000e+00    10010 7.8235e+05   B 
   10010   H  1      STABLE       0
   20010   H  2      STABLE       0
   30010   H  3    3.8879e+08     1
   1:   1.0000e+00    30020 1.8590e+04   B 
   40010   H  4    9.9065e-23     1
   1:   1.0000e+00    30010 2.8804e+06   N 
   50010   H  5    7.9947e-23     1
   1:   1.0000e+00    40010 2.0000e+05   N 
   60010   H  6    2.8481e-22     1
   1:   1.0000e+00    50010 9.0000e+05   N 
   70010   H  7    2.3000e-23     1
   1:   1.0000e+00    50010 1.0740e+05   N  N 
   30020  He  3      STABLE       0
   40020  He  4      STABLE       0
   50020  He  5    7.5950e-22     1
   1:   1.0000e+00    10000 8.9000e+05   A 
   60020  He  6    8.0670e-01     1
   1:   1.0000e+00    60030 3.5078e+06   B 
   70020  He  7    3.0380e-21     1
   1:   1.0000e+00    60020 4.0300e+05   N 
   80020  He  8    1.1910e-01     2
   1:   8.4000e-01    80030 1.0651e+07   B 
   2:   1.6000e-01    70030 8.6186e+06   B  N 
   90020  He  9    7.0000e-21     1
   1:   1.0000e+00    80020 1.0000e+05   N 
  100020  He 10    1.5190e-21     1
   1:   1.0000e+00    90020 9.5768e+05   N 
   40030  Li  4    7.5572e-23     1
   1:   1.0000e+00    30020 3.1030e+06   P 
   50030  Li  5    3.0687e-22     1
   1:   1.0000e+00    10010 1.9650e+06   A 
   60030  Li  6      STABLE       0
   70030  Li  7      STABLE       0
   80030  Li  8    8.3800e-01     1
   1:   1.0000e+00    40020 1.6097e+07   B  A 
   90030  Li  9    1.7830e-01     2
   1:   5.0500e-01    90040 1.3606e+07   B 
   2:   4.9500e-01    80040 1.1941e+07   B  N 
  100030  Li 10    2.0000e-21     1
   1:   1.0000e+00    90030 2.6400e+04   N 
  110030  Li 11    8.5900e-03     1
   1:   1.0000e+00   110040 2.0551e+07   B 
  120030  Li 12    1.0000e-08     1
   1:   1.0000e+00   110030 1.2000e+05   N 
   50040  Be  5    1.0000e-09     1
   1:   1.0000e+00    40030 4.5270e+06   P 
   60040  Be  6    4.9533e-21     1
   1:   1.0000e+00    40020 1.3720e+06   P  P 
   70040  Be  7    4.5982e+06     1
   1:   1.0000e+00    70030 8.6182e+05   EC
   80040  Be  8    8.1813e-17     1
   1:   1.0000e+00    40020 9.1840e+04   A 
   90040  Be  9      STABLE       0
  100040  Be 10    4.7652e+13     1
   1:   1.0000e+00   100050 5.5600e+05   B 
  110040  Be 11    1.3810e+01     2
   1:   9.6900e-01   110050 1.1509e+07   B 
   2:   3.1000e-02    70030 2.8452e+06   B  A 
  120040  Be 12    2.1300e-02     1
   1:   1.0000e+00   120050 1.1708e+07   B 
  130040  Be 13    2.7000e-21     1
   1:   1.0000e+00   120040 1.0000e+05   N 
  140040  Be 14    4.3500e-03     3
   1:   1.4000e-01   140050 1.6291e+07   B 
   2:   8.1000e-01   130050 1.5321e+07   B  N 
   3:   5.0000e-02   120050 1.0443e+07   B  N  N 
  150040  Be 15    2.0000e-07     1
   1:   1.0000e+00   140040 1.7720e+06   N 
  160040  Be 16    2.0000e-07     1
   1:   1.0000e+00   140040 1.5810e+06   N  N 
   60050   B  6    1.0000e-09     1
   1:   1.0000e+00    40030 7.4190e+06   P  P 
   70050   B  7    3.2550e-22     1
   1:   1.0000e+00    60040 2.2066e+06   P 
   80050   B  8    7.7000e-01     1
   1:   1.0000e+00    40020 1.8072e+07   EC A 
   90050   B  9    8.4389e-19     1
   1:   1.0000e+00    80040 1.8583e+05   P 
  100050   B 10      STABLE       0
  110050   B 11      STABLE       0
  120050   B 12    2.0200e-02     1
   1:   1.0000e+00   120060 1.3369e+07   B 
  130050   B 13    1.7360e-02     1
   1:   1.0000e+00   130060 1.3437e+07   B 
  140050   B 14    1.2500e-02     1
   1:   1.0000e+00   140060 2.0644e+07   B 
  150050   B 15    9.9300e-03     3
   1:   6.0000e-02   150060 1.9091e+07   B 
